时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-10-09,Peak Nano,先进制造,战略投资,2500万美元,Squadron Capital,81250,先进制造、新材料、新材料,Peak Nano是一家纳米技术商业化引擎公司，其开发的纳米层梯度折射索引 （GRIN） 技术允许设计和制造在近红外应用中具有更高光电性能的镜头，其尺寸、重量和体积只是目前可用复杂镜头的一小部分，使医疗和商业部门能够在镜头内创建所需的球面折射指数分布。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-09,鲁尔新材料,先进制造,A+轮,数千万人民币,高瓴创投（领投）,15000,先进制造、新材料、新材料,鲁尔新材是由在德国弗劳恩霍夫研究所（Fraunhofer）学习和工作的归国学者创建。公司专注于高效相变储能材料及产品的开发，目前可提供-40℃至100℃内任意温度的固-液、固-固和液-液相变储能材料，并提供相关的温控、储热或储冷解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-30,纳金科技,先进制造,A轮,未透露,"清控银杏创投, 荷塘创投（启迪创投）, 珠海大横琴集团",10000,先进制造、新材料、新材料,纳金科技是一家柔性电子材料研发商，专注于以纳米银线为核心的柔性透明导电技术，提供从上游的纳米银材料、纳米透明导电浆料、图形化透明导电薄膜、到下游产品的整体解决方案。,雷震 董事长兼总经理 雷震，珠海纳金科技有限公司董事长兼总经理 
2021-09-30,鼎丰碳素,先进制造,A轮,未透露,武岳峰资本,10000,先进制造、新材料、新材料,鼎丰碳素是一家石墨材料研发商，主要从事石墨材料及相关产品的生产，产品包括有核石墨、石墨电极、等静压石墨、碳砖、特种石墨碳素制品等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-29,易锐光电,先进制造,Pre-B轮,数亿人民币,"金拓资本, 武岳峰资本, 鑫鼎国瑞",150000,先进制造、新材料、新材料,易锐光电是集研发、生产、销售于一体的高科技创新企业，在光电领域具备垂直整合能力及核心技术创新能力 ，通过垂直整合上游芯片，中游混合集成，以及下游模块及子系统的设计、开发和制造，打造基于硅的多元材料体系混合集成平台。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-28,杰科股份,先进制造,战略投资,2235万人民币,仕佳光子,11800,先进制造、新材料、新材料,"杰科股份是一家主营业务是生产和销售阻燃聚烯烃类和聚氯乙烯护套(管材)料、TPU电缆料、低烟无卤阻燃料、辐照交联阻燃电缆料。
",游泳 总经理 游泳，男，1968年12月10日出生，中国国籍，无境外永久居留权，1991年7月毕业于同济大学，本科学历。1991年9月至1993年10月担任无锡华鹏瓶盖有限公司技术员；1993年10月至2006年5月担任无锡爱邦高聚物有限公司技术部经理、总工；2006年至今担任无锡杰科执行董事、总经理；2014年至今担任河南杰科新材料股份有限公司总经理，现任公司董事。 
2021-09-28,瀚薪科技,先进制造,A轮,6亿人民币,"尚颀资本, 上汽恒旭, 宁德时代, 广汽集团, 临港科创投, 汇川技术, 国投招商, 阳光电源",300000,先进制造、集成电路、新材料,瀚薪科技一直以来致力于SiC与GaN功率半导体技术与产品开发，专注投入于SiC与GaN的材料特性、制程工艺与功率半导体设计及电力电子应用的相关研究。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-27,ULUU,先进制造,种子轮,94万美元,"Main Sequence Ventures, Alberts Impact Ventures, The Eights",3055,先进制造、新材料、新材料,ULUU是一家澳大利亚生物材料研发商，专注于研发可替代塑料的可降解生物材料，主要为用户提供由海藻和海洋微生物制成的PHA材料。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-27,三责新材料,先进制造,C轮,近亿人民币,"恒信华业（领投）, 川流资本, 思脉资本",50000,先进制造、新材料、新材料,三责新材料公司主要从事高性能陶瓷部件的研究、开发与生产。产品为高性能精密陶瓷，是一种高强度、高导热、耐高温复相陶瓷，主要成分为碳化硅、氮化硅，可用于3D曲面玻璃、半导体、镜片、化工等领域的模具、加热板和隔热板制造。公司核心技术为碳化硅材料的配方及加工工艺，目前产品的主打领域为3D曲面玻璃的热弯模具。,张家春 CEO 张家春，三责新材料CEO。 
2021-09-24,力量钻石,先进制造,IPO上市,3.112亿人民币,,124500,先进制造、新材料、新材料,省力量是一家超硬材料研发、生产、销售商。主要经营范围：人造金刚石、超硬材料制品研发、生产、销售、进出口业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
