时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-03-15,祥邦科技,先进制造,A轮,未透露,"毅达资本, 创钰投资, 湖北高投",10000,先进制造、新材料、制造业,祥邦科技是国内封装胶膜领域的领导型企业之一。致力于研发，生产和销售光伏组件用封装胶膜，包括EVA，POE，白膜等胶膜产品。公司产品国际领先，远销欧美，东南亚，非洲等地区。尤其是在升级产品POE上，抢占市场先机，为国际公认品牌之一。公司产品已通过TUV、SGS、UL等专业检测机构检测认证，并通过ISO9001质量体系认证及14000环境体系认证。,曹祥来 创始人 祥邦科技董事长兼总经理。 
2021-03-15,禾隆新材,先进制造,战略投资,未透露,禹闳资本,50000,先进制造、新材料、新材料,禾隆新材是一家专注于循环利用废弃塑料和木粉进行木塑复合材料（WPC）产品研发、生产和销售的高科技企业，在国内木塑复合材料领域位于前列。公司生产的原料主要为废弃塑料、木家具生产边角料等废弃物，未来四年，禾隆新材计划采购废塑料原料将累计超过5万吨。未来禹闳将与禾隆新材协作，对公司的社会与环境效益进行持续跟踪与管理，推动公司在应对塑料污染方面作出更大的贡献。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-03-11,苏州北春科技,先进制造,天使轮,1000万人民币,捷创资本,10000,先进制造、新材料、新材料,苏州北春科技是一家生物基材料技术研发和销售公司。,包璐璐 创始人 包璐璐，苏州北春科技创始人、总经理。 
2021-03-10,鑫华半导体,先进制造,战略投资,未透露,国投创业（领投）,50000,先进制造、新材料、新材料,鑫华半导体是一家半导体级多晶硅研发商，该公司主要开发适用于300mm硅片使用的半导体级多晶硅，具体包括高纯多晶硅块、大晶圆、碳化硅涂层石墨件、碳化硅涂层复合材料等系列产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-03-09,有为化学,传统制造,C+轮,1亿人民币,"东方富海, 国隆资本, 联通中金",50000,传统制造、化工产业、拍摄设备,有为化学是一家北京大学创业孵化的，以系列创新专利知识产权技术为核心资产的***高新技术企业。围绕水性光固化涂料绿色新材料产业领域，公司已经完成“上游关键原材料-下游水性 LED 光固化涂料-智能自动化涂装装备制造-B端工厂/ C端社区业务”全产业链整合。公司参股资本包括深圳创新投资资本集团，深圳前海竑科产业投资基金，湖北宜化集团，深圳启赋国隆资本，和深圳同创伟业资本。公司当前拥有超过 72 项国家发明专利，知识产权集群资产居于国际业界领先地位，系行业首创绿色共性工业涂料技术，在节能环保水性光固化涂料或油墨，包括水性光固化木器涂料，绿色家居装饰翻修，印刷包装材料，3D 打印，动车地铁车体涂装，汽车和集装箱涂装等民生产业领域具有广泛应用。,王智刚 董事长 王智刚，深圳市有为化学技术有限公司董事长 
2021-03-05,康碳复合材料,先进制造,C轮,数亿人民币,"深创投, 百咖创投, 九洲创投, 武岳峰资本",150000,先进制造、新材料、新材料,康碳复合材料是一家碳复合材料研发生产商，公司主要从事碳复合材料的研发、生产及销售业务，致力于为用户提供碳复合材料产品。,"夏汇浩 董事长&总经理 夏汇浩，康碳复合材料董事长&总经理，理学博士，研究员，博士生导师。中国科学院上海应用物理研究所研究员。专业：核技术及应用、核能科学与工程。
 "
2021-03-04,基本半导体,先进制造,战略投资,未透露,博世中国,50000,先进制造、集成电路、新材料,基本半导体是中国第三代半导体行业领军企业，专业从事碳化硅功率器件的研发与产业化，基本半导体掌握国际领先的碳化硅核心技术，研发覆盖碳化硅功率器件的材料制备、芯片设计、制造工艺、封装测试、驱动应用等产业全链条，先后推出全电流电压等级碳化硅肖特基二极管、通过工业级可靠性测试的1200V碳化硅MOSFET、车规级全碳化硅功率模块等系列产品，性能达到国际先进水平，应用于新能源、电动汽车、智能电网、轨道交通、工业控制、国防军工等领域。,和巍巍 创始人  和巍巍，基本半导体创始人、总经理。和巍巍博士是国内电力电子行业知名专家，中国半导体行业协会理事，国家科技部、深圳市科创委专家评委，深圳市海外高层次人才。和巍巍博士本科毕业于清华大学电机工程系，获得剑桥大学工程系电子电子专业博士学位。他在电力电子器件、驱动及应用方面造诣深厚，是目前国内少数同时掌握碳化硅领域核心技术并具有丰富产业化经验的专业人士。 
2021-03-01,铸鼎工大,先进制造,战略投资,7200万人民币,万方发展,18000,先进制造、新材料、新材料,铸鼎工大新材料是一家高硅铝合金电子封装材料研发商，集科研、生产、销售、服务为一体，产品包括高硅铝合金坯锭、高硅铝合金壳体件、梯度高硅铝合金、镀金壳体件等，广泛应用于航空航天、通讯及军事装备制造等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-27,清陶能源,先进制造,F轮,数亿人民币,"上海科创投集团(上海科创)（领投）, 新鼎资本, 科森科技, 峰瑞资本, 上海博福",150000,先进制造、新能源、电池,清陶能源是一家陶瓷隔膜及全固态化锂电池研发商，主要产品包括纳米陶瓷纤维膜、纳米涂胶膜、陶瓷颗粒膜、纳米陶瓷复合膜及离子导体膜等，同时公司还涉及高性能锂离子电池及其关键材料的研发以及相关技术服务支持服务。,"李峥 总经理 李峥，江苏清陶能源创始人、总经理。清华大学博士生毕业，江苏省“双创博士”。长期从事新能源材料零余额科研和管理工作。 冯玉川 创始人兼首席执行官 冯玉川，清陶能源创始人兼首席执行官，2014年,清华大学博士冯玉川与合伙人共同创办了清陶能源。 "
2021-02-26,蓝晶微生物,先进制造,B轮,2亿人民币,"光速中国（领投）, 高瓴创投（领投）, 七匹狼, 三一创新, 峰瑞资本, 前海母基金, 中关村启航基金, 中关村发展前沿基金",100000,先进制造、新材料、新材料,蓝晶微生物是一家可降解塑料生产制造商，专注于将合成生物技术应用于分子和材料创新方向，通过使用合成生物学工具编程微生物，从而生产新的生物降解塑料产品并提升现有生物产品制造过程的效率，降低PHA的生产成本，并合成多种不同种类的PHA材料。,李腾 联合创始人兼总裁 清华大学合成生物学与生物材料博士。2019年，入选《财富》“中国40位40岁以下的商界精英”；入选《麻省理工科技评论》年度中国科技青年榜，第一届中国区“35岁以下科技创新35人榜单”。 张浩千 联合创始人兼CEO 北京大学整合生命科学（物理学方向）博士，前后在国际学术期刊发表研究论文20余篇。中国生物工程学会合成生物学专业委员会委员，《合成生物学》编委。2019年，入选《FastCompany》中国商业最具创意人物 100 榜单。 朱天择(已离职) 原联合创始人 朱天择，北京芝诺科技创始人、CEO。本科毕业于北京大学生命科学学院，博士毕业于牛津大学化学系，师从Kylie Vincent教授，研究方向涉及医疗小分子的生物催化，不对称合成等生物化学前沿交叉学科领域。回国后与清华大学北京大学知名学者共同创立北京蓝晶微生物科技有限公司，致力于生物催化技术的产业化，生产更加安全、环保、廉价的药物小分子等高附加值产品，公司是聚焦于微生物基因工程的平台型生物技术公司。 
2021-02-25,NIL Technology ApS,先进制造,战略投资,2600万欧元,"诺基亚成长基金, Jolt Capital, Vækstfonden, EIC Fund",101400,先进制造、新材料、新材料,NIL Technology是一家丹麦纳米压印机设备提供商，旗下主要产品包括CNI系列紫外/热压纳米压印机、EZI-UV NIL纳米压印仪器等。其中旗舰产品CNI系列纳米压印机具有热压印（温度达240）和 紫外压印（365nm）两种功能。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-24,VenoStent,先进制造,种子轮,230万美元,"Creative Ventures（领投）, SP Investment Fund, Cowtown Angels, Texas Halo Fund, Olima Ventures, C3 Ventures, IAG Capital Partners",7475,先进制造、新材料、新材料,VenoStent是一家美国先进生物材料研发商，致力于开发可生物吸收的智能聚合物来改变血管外科手术。拥有聚合物工程领域的核心专利技术。它的首个产品SelfWrap是一种可生物吸收的可滑动包裹物，旨在消除血液透析患者的血管通路手术失败率，达到55-65％。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-24,傲镭智能,先进制造,A轮,3000万人民币,"昂若资本, 河石资本",15000,先进制造、新材料、新材料,傲镭智能是一家碳纳米技术研发商，公司致力于提供具有原创突破性的碳纳米管冷阴极CNT-X射线源产品、智能检测设备及无损检测解决方案。产品可广泛应用于医疗医检、消费电子、智能制造、安全安检、新能源、轨道交通、电网电力、食品安全、石油化工、材料分析、汽车工业、海洋装备等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-20,喀什安德新材,先进制造,战略投资,未透露,"山东章鼓, 安派柚泰",50000,先进制造、新材料、新材料,喀什安德新材是一家新材料技术研发商，该公司主要从事新材料技术研发、电子专用材料制造、新型膜材料销售、新兴能源技术研发、新材料技术推广服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-20,雨中情防水,先进制造,战略投资,数亿人民币,基石资本,150000,先进制造、新材料、新材料,雨中情防水是一家防水材料研发生产商，致力于为客户提供优质的防水解决方案。主打产品“雨水情”牌防水系列包括改性沥青防水卷材、合成高分子防水卷材、防水涂料和高铁专用防水材料等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-17,盛洋科技,先进制造,战略投资,2.68亿人民币,国交北斗,134000,先进制造、新材料、新材料,盛洋科技是一家射频电缆产品研发商，产品包括75欧姆同轴电缆和数据电缆，现已拥有包括内外导体加工、编织生产、护套生产、成圈、包装等生产加工环节的完整产业链，产品主要应用于电视（有线电视、卫星电视）、固定网络等各种标准的信号传输系统。,叶利明 董事长 叶利明，盛洋科技董事长。 
2021-02-17,纳诺特科技,先进制造,天使轮,未透露,中科创星,500,先进制造、新材料、新材料,纳诺特科技为中科院宁波材料所柔性透明导电团队技术成果转化平台。主要产品为超薄金属导电膜，其性能和成本相对于现有的ITO、银纳米线、金属网格等导电膜技术路线均有优势。可广泛用于大屏触控、电磁屏幕、柔性太阳能电池等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-07,德智新材料,先进制造,A轮,未透露,众合瑞民,10000,先进制造、新材料、新材料,"德智新材料是一家复合材料研发生产商，专业从事碳化硅纳米镜面涂层及陶瓷基复合材料研发、生产和销售，产品主要应用于太阳能光伏、核工业、航空航天等领域。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-04,Uniformity Labs,智能硬件,B轮,未透露,Orion Resource Partners,97500,智能硬件、3D打印、新材料,Uniformity Labs是一家美国增材制造商，致力于提供材料和软件解决方案，以加速和扩展全球商业/工业3D打印（AM）市场。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-02-02,光华伟业,生产制造,新三板定增,6799万人民币,"荣盛创投, 合江创投, 胜帮投资, 中创信立投资",33995,传统制造、化工产业、环保,光华伟业是一家环保生物材料研发商。公司的产品主要包括聚乳酸、聚己内酯、乳酸酯及多元醇等。同时还提供低温打印笔、手工模型材料及打印耗材等的3D打印产品和设备的业务。,杨义浒 董事长 杨义浒，博士研究生学历。1988年7月毕业于北京大学，获学士学位；1988年7月至1997年10月，任职于湖北省石化厅；1995年12月至1997年11月，就读于中国社会科学院研究生院工商管理专业在职硕士研究生；1997年10月至2002年5月，任湖北楚虹化工股份有限公司副总经理；2007年9月至2014年6月，在武汉大学经济与管理学院企业管理专业攻读博士研究生。 
2021-01-28,纯源镀膜,先进制造,A轮,未透露,"华睿投资, 毅达资本, 同创伟业, 合肥创投, 兴泰资本",10000,先进制造、新材料、新材料,纯源镀膜是由新加坡归国创业团队于2014年创立的高科技公司，主要从事真空镀膜设备的设计、研发、加工制造、销售、售后服务和镀膜生产服务。公司目前拥有设计、研发、工艺、市场和生产等各方面的专业人才，在纯离子镀膜(Pure Ion Coating，简称PIC)、化学气相沉积（CVD）、磁控溅射、多弧离子镀、离子束刻蚀清洗等真空镀膜应用领域都拥有国内外尖端技术。膜层可以广泛应用在3C消费电子、半导体、交通工具、刀具模具、新能源、医疗、军工航天和科研等行业。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-28,合肥昱驰,先进制造,天使轮,1000万人民币,合肥高新大唐产业基金,5000,先进制造、智能装备、新材料,合肥昱驰是一家中国磁悬浮分子泵及真空高端装备商，磁悬浮复合分子泵是集成电路、平板显示、新能源、新材料、航空航天等领域的核心设备，长期由国外公司垄断。合肥昱驰将航天领域磁悬浮技术在工业产品上实现转化应用，目前正处于产业化发展阶段。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-27,华友钴业,先进制造,IPO上市后,18亿人民币,"亿纬锂能, 西藏亿纬控股",900000,先进制造、新材料、新材料,华友钴业是一家锂电新能源材料研发制造商，专注于锂电新能源材料制造、钴新材料深加工以及钴、铜有色金属采、选、冶，主要产品为锂电正极材料前驱体、钴的化学品以及铜镍金属。,陈雪华 董事长 陈雪华，浙江华友钴业股份有限公司董事长 
2021-01-26,盈骅新材料,先进制造,战略投资,未透露,"广发信德, 深圳高新投, 新芯资产",50000,先进制造、新材料、新材料,盈骅新材料是一家复合材料制造商，产品涵盖几个系列：多种类IC载板用（类）载板板材；无铅、无卤、高Tg、low Dk/Df、CTI600覆铜板；non-flow、导热、low Dk/Df半固化片；FPC用FR4补强板；热塑/热固性碳纤维复合材料；热塑/热固性芳纶复合材料等材料。我司拥有多领域、经验丰富的技术开发团队，致力于为市场提供高性能、高品质、差异化的复合材料。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-26,锦艺新材料,先进制造,战略投资,未透露,哈勃投资(华为旗下),50000,先进制造、新材料、新材料,锦艺新材料致力于提供高端无机非金属粉体新材料应用解决方案，是一家集研发、生产、销售、技术服务为一体的国家级高新技术企业。公司聚焦客户关注的压力和挑战，挖掘无机非金属材料的潜能，通过独有的核心技术和核心优势，融合各种有机材料，提供优异功能和低成本分体解决方案，大力拓展在新能源、新材料、环保节能等快速发展领域的应用。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-25,泰吉诺,先进制造,A+轮,未透露,毅达资本,10000,先进制造、新材料、新材料,泰吉诺旨在提供芯片层级用电子材料整体解决方案，专注于研发、制造、销售高端导热界面材料（TIM1、TIM1.5&TIM2）、导热吸波复合材料，为客户提供一体化解决方案，解决电子行业产品“热点”及“痛点”问题，产品包含导热垫片、导热绝缘片、导热单/双组份凝胶、导热脂、导热相变化材料、液态金属材料、导热吸波复合材料，产品广泛应用于电信、数据通讯、手机、计算机、通用电子装置、网络设备、航空航天、国防、汽车电子以及医疗设备等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-25,柔电芯云Rotex,先进制造,Pre-A轮,数千万人民币,"启融创投（领投）, 横琴金投, 皑斯投资, 泰姬投资",15000,先进制造、新材料、新材料,柔电芯云Rotex是一家柔性生物电子及相关产品解决方案提供商，专注于柔性生物电子材料研发，结合微纳米加工与集成技术，生产纳米级柔性电子器件产品，应用于透皮给药导入、体表物理治疗、柔性电子植入物、生物电信号传感和力学信号传感等领域。,杨泽宇 创始人 杨泽宇，柔电芯云创始人、CEO。 郭仪 COO 郭仪，柔电芯云联合创始人、COO。前华为欧洲三个国家的市场营销主管；工作11年，丰富的商业及市场管理运作经验。 鲁南姝 董事长 鲁南殊，柔电芯云联合创始人、董事长。德克萨斯大学奥斯汀分校(UT-Austin)天普基金会特聘终身教授。全球TR35青年创新家、电子纹身发明人。 联合国教科文组织年度创新唯一最高奖。 麻省理工技术评论全球35位35岁以下创新家（TR35，2012）。 美国德州大学奥斯汀主校区工程力学系、生物医学工程系、电子与计算机工程系及材料学院助理教授，博士生导师；实验团队独立支配科研经费数百万美元，现同时承担达五项美国自然科学基金项目；研究成果多次发表在《科学》、《自然-材料》、《国家科学院会刊》等顶级国际学术刊物。共计发明专利2项，论文40余篇，被引用逾3000余次； MIT《技术评论》2012年度三十五位世界青年创新家（TR35）；联合国教科文组织2013年Netexplo数字创新论坛年度唯一特等奖；2014年度美国自然科学基金杰出青年 奖(NSFCAREER)；3M公司青年教授奖；多次被包括BBC，CNN，时代杂志，金融时报，美国国家博物院期刊Smithsonian）；美国国家公共广播（NPR）等主流媒体报道和采访。 
2021-01-22,同光股份,先进制造,C轮,数亿人民币,"CPE源峰（领投）, 昆仑资本",120000,先进制造、新材料、新材料,同光股份(同光晶体)是一家半导体材料碳化硅衬底研发生产商，主要从事第三代半导体材料碳化硅衬底的研发和生产，主要产品包括4英寸N型碳化硅单晶、6英寸导电型碳化硅单晶、高纯半绝缘碳化硅衬底。,郑清超 创始人 郑清超，同光股份董事长；同光晶体创始人、董事长。此前经营着一家主营电力电子器件产品的公司，而后转身跨入第三代半导体核心材料——碳化硅行业。 
2021-01-22,京浜光电,先进制造,Pre-IPO,未透露,三行资本（领投）,0,先进制造、新材料、新材料,京浜光电是一家真空镀膜光学制品制造商，从事光学产品开发、设计到制作精密光学滤光片及反射镜等制品。主要制品有智能手机用红外截止滤光片、数码单反相机用滤光片、复印机/投影仪/扫描仪用光学反射镜片和滤光片、太阳能用高反射镜片、光盘用滤光片、激光用光学镜片；以及智能手机触摸屏、液晶ITO导电膜镜片等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-18,当盛新材,先进制造,天使轮,未透露,"沃衍资本, 红杉资本中国, 祥峰投资Vertex, 北控金富",500,先进制造、新材料、新材料,当盛新材是一家高性能纤维材料研发商，致力于高性能纤维材料的研发、生产、销售的高科技企业，实现了中国唯一由单一材料制成的高性能防病毒、生化阻隔的防护服的生产。当盛新材提供一系列医疗一次性防护用品，包括防护服、隔离服、防护鞋套等用品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-18,天仁微纳,先进制造,战略投资,数千万人民币,聚源资本-中芯聚源,15000,先进制造、新材料、新材料,天仁微纳是世界领先的微纳加工设备和解决方案提供商。我们专注于纳米加工领域，尤其是纳米压印技术。公司的核心竞争力是为客户提供纳米压印整体解决方案。产品与服务涵盖纳米压印相关的设备、模具、材料、工艺以及生产咨询服务。我们致力于拓展纳米压印技术在创新产品领域的应用，例如发光二极管(LEDs)、微纳机电系统(MEMs/NEMs)、虚拟现实和增强现实光波导(AR Waveguides)、3D传感、生物芯片、显示以及太阳能等。,冀然 创始人 冀然，天仁微纳创始人、董事长。冀然2000年从北京科技大学本科毕业后，选择奔赴德国亚琛工业大学留学深造。他师从欧洲纳米压印之父Kurz教授，研究纳米压印设备与材料，自此与该行业结下不解之缘。2004年硕士毕业后，冀然来到德国哈雷马普微结构物理研究所攻读博士，并在毕业后加入丹麦纳米压印模版制造商。2008年，世界半导体设备领头羊公司德国慕尼黑苏斯公司向冀然发出邀请函，担任纳米压印技术首席专家，主要负责纳米压印设备开发与市场推广。2015年冀然回国创业。 
2021-01-13,Boston Metal,先进制造,B轮,5000万美元,"Breakthrough Energy Ventures, Prelude Ventures, The Engine, Piva Capital（领投）, BHP Ventures（领投）, Devonshire Investors（领投）, OGCI Climate Investments",162500,先进制造、新材料、新材料,Boston Metal是一家全球金属技术解决方案公司，正在将熔融金属氧化物电解（MOE）（一种获得专利的吨位金属生产平台）商业化。 MOE为金属行业提供了一种更有效，成本更低且更环保的解决方案，用于从多种原料中生产多种金属和合金。 波士顿金属公司与客户紧密合作，根据特定合金，原料和业务需求量身定制MOE技术。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-12,中钛装备,先进制造,B轮,未透露,"中冀投资, 兼固资本, 中航资本, 云晖资本, 深创投, 浩蓝行远, 青松基金",15000,先进制造、新材料、新材料,中钛装备是钛及钛合金特种材料、零部件、轻量化总体解决方案的提供商，专注于高端制造领域。基于对钛金属的深刻理解、全产业链的布局和把控，在充分开发钛及钛合金材料性能的基础上，为客户在轻量化、可靠性、耐腐蚀、防护等方面的核心需求提供全面解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-12,沃特节能,企业服务,Pre-IPO,3.5亿人民币,,175000,企业服务、行业信息化及解决方案、解决方案,沃特节能是一家主要从事节能节电产品研发、生产、销售和技术服务的企业，通过EMC(合同能源管理) 模式为火电、水泥、钢铁、铝业、化工等高能耗企业提供节电解决方案。 公司在节能领域采用EMC模式。,李勋 董事长 郑州沃特节能科技股份有限公司董事长 
2021-01-11,畅的新材,先进制造,A轮,数千万人民币,"东合资本（领投）, 奋毅资本",15000,先进制造、新材料、新材料,畅的新材是一家纳米科技材料研发及解决方案提供商，专业从事研发纳米科技材料的公司。产品主要包括纳米陶瓷粉体，纳米陶瓷分散液，PET 耐候母粒，光致变色粉体，光谱选择性涂料，聚合物功能材料。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-11,升华新材,先进制造,战略投资,2.72亿人民币,"富临精工, 宁德时代, 晨道投资",136000,先进制造、新能源、新材料,升华新材是一家锂电池正极材料研发商，集研发、生产、销售于一体，面向新能源汽车领域提供动力电池正极材料。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-11,Kyulux,先进制造,战略投资,未透露,"浦科投资, 日本三井集团, 八亿时空, JSR, WRVI Capital, 芯鑫租赁",3000,先进制造、新材料、新材料,Kyulux是一家日本有机电致发光材料研发生产商，公司提出的TADF超荧光解决方案构成了其 核心技术 ，目前Kyulux已经成为全球在TADF材料研究和开发的先驱和领军企业。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-11,Kintra Fibers,先进制造,战略投资,未透露,Pangaia,325000,先进制造、新材料、新材料,Kintra Fibers是一家可持续纺织材料研发商，致力于研发和生产由100%生物基和可堆肥材料制成的高性能纱线 ，目前该公司研发出一种由蔗糖制成的树脂和纱线材料 ，Kintra希望这一新材料可以替代石油基合成纤维 ，并成为微塑性海洋污染的有效解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-06,基本半导体,先进制造,B轮,数亿人民币,"闻泰科技（领投）, 深投控, 亦庄国投, 力合科创（力合创投）, 民和资本, 四海新材料",150000,先进制造、集成电路、新材料,基本半导体是中国第三代半导体行业领军企业，专业从事碳化硅功率器件的研发与产业化，基本半导体掌握国际领先的碳化硅核心技术，研发覆盖碳化硅功率器件的材料制备、芯片设计、制造工艺、封装测试、驱动应用等产业全链条，先后推出全电流电压等级碳化硅肖特基二极管、通过工业级可靠性测试的1200V碳化硅MOSFET、车规级全碳化硅功率模块等系列产品，性能达到国际先进水平，应用于新能源、电动汽车、智能电网、轨道交通、工业控制、国防军工等领域。,和巍巍 创始人  和巍巍，基本半导体创始人、总经理。和巍巍博士是国内电力电子行业知名专家，中国半导体行业协会理事，国家科技部、深圳市科创委专家评委，深圳市海外高层次人才。和巍巍博士本科毕业于清华大学电机工程系，获得剑桥大学工程系电子电子专业博士学位。他在电力电子器件、驱动及应用方面造诣深厚，是目前国内少数同时掌握碳化硅领域核心技术并具有丰富产业化经验的专业人士。 
2021-01-05,墨睿科技,先进制造,A+轮,数千万人民币,"广发信德（领投）, 势能资本, 六脉资本, 东莞金控, 苏州微骏",15000,先进制造、新材料、新材料,"墨睿科技是一家石墨烯等先进材料应用开发商，以石墨烯产业应用研发为主导，墨睿科技围绕石墨烯锂电池电极材料、石墨烯复合散热材料、石墨烯显示触控屏、石墨烯晶体管等产业方向，通过石墨烯上下游应用技术研发与应用产品示范推广，为新材料应用企业提供技术支撑，为下游产业提供产品解决方案，构筑以应用企业为主体，产学研相结合的产业链集群。
",蔡金明 创始人 蔡金明，墨睿科技创始人，博士自2005年起一直从事石墨烯材料的研究，并在2015年回国创立了墨睿科技。2003年获北京大学物理学系学士学位，2009年获中国科学院物理研究所博士学位。2008年到美国橡树岭国家实验室做访问学者一年，2009年到2014年在瑞士联邦材料科学与技术研究所做博士后。昆明理工大学材料科学与工程学院教授，博士生导师，长期从事石墨烯等低维纳米材料的制备与物性研究。 
2021-01-04,博康信息,先进制造,战略投资,5.8亿人民币,华懋科技,290000,先进制造、集成电路、新材料,博康信息是一家光刻胶单体产业化生产商，主要产品包括金刚烷衍生物、芳香族化合物、医药中间体以及其他产品，公司主打产品193nm光刻胶单体及OLED材料等产品已出口至日本、韩国以及欧美等国家。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-01-02,奥马电子,先进制造,B轮,未透露,武岳峰资本,15000,先进制造、新材料、新材料,奥马电子是一家覆铜板电子类材料研发商，主要为用户提供FCCL柔性覆铜箔基材、CVL覆盖膜、补强板、纯胶膜、太阳能背板、FFC热封膜以及屏蔽膜等电子材料；应用于电子产品及配件的安装、维修等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2020-12-31,中科富海,先进制造,B轮,未透露,"深创投, 中金佳成, 华融天泽-华融证券, 中金资本, 中关村新动能",15000,先进制造、新材料、解决方案,中科富海是一家低温装备制造企业。该公司致力推进我国深低温制冷技术的产业应用，以发展低温工程与制冷技术为基础，重点开发大型低温系统关键技术与产品，并为客户提供相关的解决方案。,朱诚 CEO 朱诚，为北京中科富海低温科技有限公司的CEO 
2020-12-31,海正生物,传统制造,战略投资,数千万人民币,中国石化集团资本,15000,传统制造、化工产业、新材料,海正生物是一家聚乳酸产品研发生产商，致力于生产聚乳酸托盘、餐盒、饮料杯、吸管、刀叉勺片材、淋膜纸杯、无纺布袋、婴童用品、耐用日用品等多种类制品，产品原料来源于植物生态材料，从玉米、木薯等植物中提取淀粉，经过微生物发酵乳酸后再聚合而成高分子材料—聚乳酸。,"朱天民(已离职) 原研发副总裁 朱天民，金瑞基业联合创始人、总裁。国家特聘专家；浙江海外高层次人才联谊会副会长、 生物医药分会会长；国家“十三五”重大专项评审专家，全面负责公司战略运营、项目研发等工作。美国新泽西州罗格斯大学化学系分析化学博士学位
。历任惠氏Wyeth、辉瑞Pfizer药物研发部高级总监、海正药业公司研发副总裁、公司首席科学家等职位；惠氏历史上唯一连续两年得到研发最高奖的科学家，也是美国《科学光谱》2005年绿宝石奖得主并被授予Senior Technology Fellow
拥有20余项美国专利（其中多项专利同时获得欧洲及中国发明专利），发表学术论文20余篇。 "
2020-12-30,微容科技,先进制造,A轮,未透露,OPPO,10000,先进制造、新材料、新材料,微容科技是一家依托国家环保工业园建设的高端片式多层陶瓷电容器（Multi-layer ceramic chip capacitor， 简称MLCC）制造企业。,陈伟荣 创始人 陈伟荣先生，是康佳集团1994年到2000年的集团总裁。从2001年起，陈先生离开康佳，进入电子元器件行业，并联合国内顶尖的MLCC专家，在MLCC行业耕耘近20年，带领出了一支专业成熟的MLCC技术研发及运营管理团队。 
2020-12-30,同光股份,先进制造,B轮,数亿人民币,昆仑资本,80000,先进制造、新材料、新材料,同光股份(同光晶体)是一家半导体材料碳化硅衬底研发生产商，主要从事第三代半导体材料碳化硅衬底的研发和生产，主要产品包括4英寸N型碳化硅单晶、6英寸导电型碳化硅单晶、高纯半绝缘碳化硅衬底。,郑清超 创始人 郑清超，同光股份董事长；同光晶体创始人、董事长。此前经营着一家主营电力电子器件产品的公司，而后转身跨入第三代半导体核心材料——碳化硅行业。 
2020-12-29,卓宝科技,房产服务,战略投资,未透露,碧桂园创投,50000,房产服务、装修装潢、新材料,卓宝科技是一家功能性建筑材料系统服务商，致力于自粘防水卷材在中国的推广与应用，产品涵盖建筑防水、家装防水、装饰保温、虹吸排水几大类、数百个品种。,邹先华 CEO 邹先华是卓宝科技的董事长 
2020-12-28,秉扬科技,生产制造,IPO上市,未透露,,50000,传统制造、化工产业、新材料,攀枝花秉扬科技股份有限公司从事陶粒支撑剂系列产品的研发、生产和销售。公司的主营产品为陶粒支撑剂。公司陶粒支撑剂按抗破碎强度分为52MPa、69MPa、86MPa、和103MPa四大系列。,樊荣 总经理 樊荣，男，1962年12月出生，中国国籍，无境外永久居留权，本科学历，为公司的控股股东和实际控制人。其职业经历为，1982年7月至1988年6月，在西充县大全完小任教；1988年7月至1990年6月，任攀枝花矿务局政教主任；1990年7月至1997年7月，任攀枝花矿务局（现攀枝花煤业集团）行政处绿化办主任；1997年3月至2005年3月，任攀枝花矿务局（现攀枝花煤业集团）农林公司副经理；2005年3月至2015年9月，任秉扬有限董事长、总经理；2015年10月至今，任秉扬科技董事长、总经理。 
